subscription_id,customer_id,plan_type,start_date,end_date,price_per_week,is_active,meals_per_week,auto_renewal,payment_method
S1,1,Vegan,2022-01-15,NULL,55.50,1,3,1,Credit Card
S2,2,Keto,2022-02-20,NULL,92.00,1,5,1,PayPal
S3,3,Classic,2022-03-10,NULL,75.00,1,4,1,Credit Card
S4,4,Vegetarian,2022-04-05,2023-05-15,50.25,0,3,0,Debit Card
S5,5,Classic,2022-05-21,NULL,95.00,1,5,1,Credit Card
S6,6,Keto,2022-06-18,2023-07-20,40.00,0,2,0,PayPal
S7,7,Family Plan,2022-07-02,NULL,130.00,1,7,1,Credit Card
S8,8,Vegan,2022-08-11,NULL,78.00,1,4,1,Apple Pay
S9,9,Classic,2022-09-01,NULL,90.50,1,5,1,Credit Card
S10,10,Vegetarian,2022-10-25,2023-01-10,35.00,0,2,1,Google Pay
S11,11,Classic,2022-11-01,NULL,45.20,1,2,1,Credit Card
S12,12,Vegan,2022-11-05,NULL,72.80,1,4,1,PayPal
S13,13,Family Plan,2022-11-12,NULL,115.00,1,6,1,Credit Card
S14,14,Keto,2022-11-20,2023-10-05,60.50,0,3,0,Debit Card
S15,15,Classic,2022-12-01,NULL,95.00,1,5,1,Credit Card
S16,16,Vegetarian,2022-12-10,2023-11-15,55.40,0,3,0,PayPal
S17,17,Family Plan,2022-12-15,NULL,135.00,1,7,1,Credit Card
S18,18,Keto,2022-12-22,NULL,62.75,1,3,1,Apple Pay
S19,19,Classic,2023-01-03,NULL,98.80,1,5,1,Credit Card
S20,20,Vegan,2023-01-10,2023-12-01,40.50,0,2,0,Google Pay
S21,21,Classic,2023-01-18,NULL,80.40,1,4,1,Credit Card
S22,22,Keto,2023-01-25,NULL,48.90,1,2,1,PayPal
S23,23,Family Plan,2023-02-02,NULL,140.00,1,7,1,Credit Card
S24,24,Vegetarian,2023-02-10,2024-01-20,58.20,0,3,0,Debit Card
S25,25,Classic,2023-02-18,NULL,105.60,1,5,1,Credit Card
S26,26,Vegan,2023-02-25,2024-02-28,75.30,0,4,1,PayPal
S27,27,Family Plan,2023-03-05,NULL,145.75,1,7,1,Credit Card
S28,28,Keto,2023-03-12,NULL,68.40,1,3,1,Apple Pay
S29,29,Classic,2023-03-20,NULL,120.90,1,6,1,Credit Card
S30,30,Vegetarian,2023-03-28,2024-03-10,60.00,0,3,1,Google Pay
S31,31,Classic,2023-04-04,NULL,85.10,1,4,1,Credit Card
S32,32,Vegan,2023-04-11,NULL,65.50,1,3,1,PayPal
S33,33,Keto,2023-04-18,NULL,52.60,1,2,1,Credit Card
S34,34,Vegetarian,2023-04-25,2024-04-05,70.80,0,4,0,Debit Card
S35,35,Classic,2023-05-02,NULL,125.25,1,6,1,Credit Card
S36,36,Vegan,2023-05-09,2024-05-12,68.70,0,3,0,PayPal
