order_id,subscription_id,order_date,num_items,meal_type,delivery_status,special_instructions,rating,amount_spent,feedback
101,S1,2023-01-05,3,Vegan,Delivered,"No onions, please",5,55.5,"Delicious meals, as always!"
102,S2,2023-01-06,5,Keto,Delivered,NULL,4,92,"Good variety, but one meal was a bit cold."
103,S3,2023-01-06,4,Classic,Delivered,Extra sauce for the chicken,5,75,Perfect! The extra sauce was a great touch.
104,S4,2023-01-07,3,Vegetarian,Cancelled,NULL,NULL,50.25,Customer cancelled last minute.
105,S5,2023-01-08,5,Classic,Delivered,NULL,5,95,Loved the new menu items.
106,S1,2023-01-12,3,Vegan,Delivered,NULL,4,55.5,Consistently good.
107,S6,2023-01-13,2,Keto,Delivered,Allergic to nuts,3,40,The delivery was late.
108,S7,2023-01-13,7,Family Plan,Delivered,NULL,5,130,"Feeds the whole family, great value."
109,S8,2023-01-14,4,Vegan,Delivered,NULL,5,78,Fresh and flavorful.
110,S9,2023-01-15,5,Classic,Delivered,NULL,4,90.5,One of the containers leaked a little.
111,S2,2023-01-13,5,Keto,Delivered,NULL,4,92,NULL
112,S10,2023-01-15,2,Vegetarian,Delivered,NULL,2,35,The portions felt smaller this week.
113,S11,2023-11-08,2,Classic,Delivered,NULL,5,45.2,NULL
114,S12,2023-11-12,4,Vegan,Delivered,NULL,4,72.8,NULL
115,S13,2023-11-19,6,Family Plan,Delivered,NULL,5,115,Great for the price.
116,S14,2023-11-27,3,Keto,Delivered,NULL,3,60.5,Meal was okay.
117,S15,2023-12-08,5,Classic,Delivered,NULL,5,95,NULL
118,S16,2023-12-17,3,Vegetarian,Delivered,No gluten.,4,55.4,NULL
119,S17,2023-12-22,7,Family Plan,Delivered,NULL,5,135,NULL
120,S18,2023-12-29,3,Keto,Delivered,NULL,4,62.75,NULL
121,S19,2024-01-10,5,Classic,Delivered,NULL,5,98.8,NULL
122,S20,2024-01-17,2,Vegan,Cancelled,NULL,NULL,40.5,NULL
123,S21,2024-01-25,4,Classic,Delivered,NULL,4,80.4,NULL
124,S22,2024-02-01,2,Keto,Delivered,NULL,5,48.9,NULL
125,S23,2024-02-09,7,Family Plan,Delivered,NULL,5,140,NULL
126,S24,2024-02-17,3,Vegetarian,Delivered,NULL,3,58.2,NULL
127,S25,2024-02-25,5,Classic,Delivered,NULL,5,105.6,NULL
128,S26,2024-03-03,4,Vegan,Delivered,NULL,2,75.3,Not my favorite.
129,S27,2024-03-12,7,Family Plan,Delivered,NULL,5,145.75,NULL
130,S28,2024-03-19,3,Keto,Delivered,NULL,4,68.4,NULL
131,S29,2024-03-27,6,Classic,Delivered,NULL,5,120.9,NULL
132,S30,2024-04-04,3,Vegetarian,Delivered,NULL,4,60,NULL
133,S31,2024-04-11,4,Classic,Delivered,NULL,5,85.1,NULL
134,S32,2024-04-18,3,Vegan,Delivered,NULL,4,65.5,NULL
135,S33,2024-04-25,2,Keto,Delivered,NULL,5,52.6,NULL
136,S34,2024-05-02,4,Vegetarian,Cancelled,NULL,NULL,70.8,NULL
137,S35,2024-05-09,6,Classic,Delivered,NULL,5,125.25,NULL
138,S36,2024-05-16,3,Vegan,Delivered,NULL,3,68.7,NULL
139,S37,2024-05-23,7,Family Plan,Delivered,NULL,5,150.9,NULL
140,S38,2024-05-30,4,Keto,Delivered,NULL,4,80.75,NULL
141,S39,2024-06-06,5,Classic,Delivered,NULL,5,108.5,NULL
142,S40,2024-06-13,3,Vegan,Delivered,NULL,4,69.6,NULL
143,S41,2024-06-20,4,Classic,Delivered,NULL,5,90.45,NULL
144,S42,2024-06-27,3,Keto,Delivered,NULL,4,70.8,NULL
145,S43,2024-07-04,7,Family Plan,Delivered,NULL,5,155.7,NULL
146,S44,2024-07-11,4,Vegetarian,Delivered,NULL,3,78.9,NULL
147,S45,2024-07-18,5,Classic,Delivered,NULL,5,110.3,NULL
148,S46,2024-07-25,4,Vegan,Delivered,NULL,4,82.4,NULL
149,S47,2024-08-01,7,Family Plan,Delivered,NULL,5,160,NULL
150,S48,2024-08-08,4,Keto,Delivered,NULL,5,85.5,NULL
151,S49,2024-08-15,6,Classic,Delivered,NULL,5,128.6,NULL
152,S50,2024-08-22,3,Vegetarian,Cancelled,NULL,NULL,65.7,NULL
153,S51,2024-08-29,5,Classic,Delivered,NULL,4,108.8,NULL
154,S52,2024-09-05,4,Vegan,Delivered,NULL,5,83.2,NULL
155,S53,2024-09-12,2,Keto,Delivered,NULL,4,55.9,NULL
156,S54,2024-09-19,4,Vegetarian,Delivered,NULL,3,79.3,NULL
157,S55,2024-09-26,6,Classic,Delivered,NULL,5,130.4,NULL
158,S56,2024-10-03,4,Vegan,Delivered,NULL,5,85.8,NULL
159,S57,2024-10-10,7,Family Plan,Delivered,NULL,5,165.5,NULL
160,S58,2024-10-17,4,Keto,Delivered,NULL,4,88.6,NULL
161,S59,2024-10-24,5,Classic,Delivered,NULL,5,115.7,NULL
162,S60,2024-10-31,3,Vegan,Delivered,NULL,2,70.8,NULL
163,S61,2024-11-07,5,Classic,Delivered,NULL,5,118.9,NULL
164,S62,2024-11-14,3,Keto,Delivered,NULL,4,73.3,NULL
165,S63,2024-11-21,7,Family Plan,Delivered,NULL,5,170.1,NULL
166,S64,2024-11-28,4,Vegetarian,Delivered,NULL,4,84.4,NULL
167,S65,2024-12-05,6,Classic,Delivered,NULL,5,135.5,NULL
168,S66,2024-12-12,4,Vegan,Delivered,NULL,5,88.6,NULL
169,S67,2024-12-19,7,Family Plan,Delivered,NULL,5,175.7,NULL
170,S68,2024-12-26,4,Keto,Delivered,NULL,4,90.8,NULL
171,S69,2025-01-02,6,Classic,Delivered,NULL,5,138.9,NULL
172,S70,2025-01-09,4,Vegetarian,Cancelled,NULL,NULL,85.1,NULL
173,S71,2025-01-16,5,Classic,Delivered,NULL,5,120.2,NULL
174,S72,2025-01-23,4,Vegan,Delivered,NULL,4,88.3,NULL
175,S73,2025-01-30,2,Keto,Delivered,NULL,5,60.4,NULL
176,S74,2025-02-06,5,Vegetarian,Delivered,NULL,5,99.5,NULL
177,S75,2025-02-13,6,Classic,Delivered,NULL,5,140.6,NULL
178,S76,2025-02-20,4,Vegan,Delivered,NULL,4,90.7,NULL
179,S77,2025-02-27,7,Family Plan,Delivered,NULL,5,180.8,NULL
180,S78,2025-03-06,5,Keto,Delivered,NULL,5,99.9,NULL
181,S79,2025-03-13,6,Classic,Delivered,NULL,4,142.1,NULL
182,S80,2025-03-20,4,Vegan,Delivered,NULL,3,88.2,NULL
183,S81,2025-03-27,6,Classic,Delivered,NULL,5,145.3,NULL
184,S82,2025-04-03,3,Keto,Delivered,NULL,5,78.4,NULL
185,S83,2025-04-10,7,Family Plan,Delivered,NULL,5,185.5,NULL
186,S84,2025-04-17,5,Vegetarian,Delivered,NULL,4,102.6,NULL
187,S85,2025-04-24,6,Classic,Delivered,NULL,5,148.7,NULL
188,S86,2025-05-01,4,Vegan,Delivered,NULL,5,95.8,NULL
189,S87,2025-05-08,7,Family Plan,Delivered,NULL,5,190.9,NULL
190,S88,2025-05-15,5,Keto,Delivered,NULL,4,105.1,NULL
